,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
2159,59,2022-01-23 23:02:55+00:00,@nsmunira94 Salam takziah buat mun,salam takziah buat mun,0.5
2179,79,2022-01-23 22:33:56+00:00,@DikaPartnerBali Rakus dia kejar waktu masa ka.,rakus dia kejar waktu masa ka,0.5
2243,43,2022-01-24 23:11:50+00:00,"@missscha24 @MSuppasit Good MEWning 🥰

#มิวศุภศิษฏ์คนนี้ที่ใจเฝ้ารอ

#Before430 
#MewSuppasit
#มิวศุภศิษฏ์ 
@MSuppasit",good mewning,0.5
2273,73,2022-01-24 22:37:57+00:00,Acaba de publicar una foto en The Metaverse Vietnam https://t.co/z3ocYQ9MHa,acaba de publicar una foto en the metaverse vietnam,0.5555555555555556
2327,27,2022-01-25 23:37:40+00:00,@JahRule8905 @shaoranstars55 @showbtph @sonymusicph Oy! Wala naman masama sa sinabe niya!e makakatulong nng malaki yin sa boys. So bakit ganyan nman e reply mo? Prang sinabe mo na din na ok kana sa BBHTS lang? Kung ganyan ka kababaw mag isip! Tikom mo nlang bibig mo!,oy wala naman masama sa sinabe niya e makakatulong nng malaki yin sa boys so bakit ganyan nman e reply mo prang sinabe mo na din na ok kana sa bbhts lang kung ganyan ka kababaw mag isip tikom mo nlang bibig mo,0.5581395348837209
2345,45,2022-01-25 23:22:43+00:00,"Assalamualaikum semua...
Salam Rabu",assalamualaikum semua salam rabu,0.5
2362,62,2022-01-25 22:58:24+00:00,@vincom2 Nancy pelosi: https://t.co/P8w9ArdovI,nancy pelosi,0.5
2395,95,2022-01-25 21:57:07+00:00,With Singapore actors Anand Karuppiah and Dhivyah Raveen @ Singapore / Singapura / 新加坡 / சிங்கப்பூர் https://t.co/dNmu7DwMZk,with singapore actors anand karuppiah and dhivyah raveen singapore singapura,0.5
2396,96,2022-01-25 21:54:29+00:00,Kerja kg jgk best https://t.co/c1TXxIufBR,kerja kg jgk best,0.5
2398,98,2022-01-25 21:36:34+00:00,"#Johorfm 
#radiopilihanno1bangsajohor 
#LindungDiriLindungSemua @ Johor FM Permata Selatan https://t.co/uPSOiyjvL2",johor fm permata selatan,0.5
2399,99,2022-01-25 21:35:40+00:00,"#Johorfm 
#radiopilihanno1bangsajohor 
#LindungDiriLindungSemua @ Johor FM Permata Selatan https://t.co/9iMoRZVr0k",johor fm permata selatan,0.5
2428,28,2022-01-26 23:33:17+00:00,@ansfeas Subjek paling tak suka,subjek paling tak suka,0.5
2448,48,2022-01-26 23:16:55+00:00,@darekn @PGodjira @DreamlandGEN @pixel_Fucker @BigBadz_NFT @Katabolicz Thank youuu,thank youuu,0.5
2460,60,2022-01-26 23:01:00+00:00,"@panadvisors 知りませんでした！
SAISとAISがUKの会社と同じですね
カナディアンは中華資本
インド系ならNPS が無双
コスパも🤗",saisaisuk nps,0.5
2465,65,2022-01-26 22:53:08+00:00,Good morning! Wala ko ayos tulog bah..tars yah,good morning wala ko ayos tulog bahtars yah,0.5
2483,83,2022-01-26 22:32:37+00:00,Nyari tmen jogging ada GK ya?,nyari tmen jogging ada gk ya,0.5
2518,18,2022-01-27 23:45:43+00:00,MashaAllah.. Salam alaik and morning.. @ Singapore Yishun https://t.co/CEajCxEK4b,mashaallah salam alaik and morning singapore yishun,0.5714285714285714
2554,54,2022-01-27 22:45:47+00:00,"@JournoDannyAero Airportle 27 4/6

🟩⬜⬜
🟩⬜⬜
🟩⬜⬜
🟩🟩🟩

Ahem.",airportle 27 46 ahem,0.5
2569,69,2022-01-27 22:26:20+00:00,VIRALL TIKTOK! DJ PALE PALE X SEDIHNYA MALAM INI -  HarrisNugraha New Re... https://t.co/1dSvYptqTC via @YouTube,virall tiktok dj pale pale x sedihnya malam ini harrisnugraha new re via,0.5384615384615384
2620,20,2022-01-28 23:45:10+00:00,Susah kalau berbincang dengan orang awam ni. Tak detail hmmmmm,susah kalau berbincang dengan orang awam ni tak detail hmmmmm,0.5
2623,23,2022-01-28 23:43:41+00:00,"@idextratime @Matt_Law_DT @CFCPys Ziyech stay, yg lain bodo amat....",ziyech stay yg lain bodo amat,0.5
2672,72,2022-01-28 23:14:56+00:00,Sleepy heads naman lateeer..,sleepy heads naman lateeer,0.5
2677,77,2022-01-28 23:09:59+00:00,"Last night! Adidas cap,Giordano sling,h&amp;M shirt,armani exchange short,Levis shoes.. Oh dIBA simple😁 https://t.co/wCynvdjUdP",last night adidas capgiordano slinghandm shirtarmani exchange shortlevis shoes oh diba simple,0.5833333333333334
2700,0,2022-01-29 23:59:55+00:00,Gusto ko mag kuha international drivers license..kaso perti man ka mahal mag enrol diri ah..maubos pagid ang time ko sa off..so sa pinas nalang siguro dw 10k lang,gusto ko mag kuha international drivers licensekaso perti man ka mahal mag enrol diri ahmaubos pagid ang time ko sa offso sa pinas nalang siguro dw 10k lang,0.5925925925925926
2706,6,2022-01-29 23:47:47+00:00,"Nak kena gari ke? 
Choose la. 
Gari awak ke tangan atau ke bed frame? 
😝😝😝😘😘😘 https://t.co/1sFIM2WM9h",nak kena gari ke choose la gari awak ke tangan atau ke bed frame,0.5
2715,15,2022-01-29 23:25:36+00:00,Start NATA ipon..pati pampasalubong.,start nata iponpati pampasalubong,0.5
2728,28,2022-01-29 23:16:18+00:00,@Hanseatengrau Ja finde ich bei einem Typhoon 🌀 in Taiwan immer faszinierend und erschreckend welche Kraft da entsteht und wie der Sturm 🌬 singt.,ja finde ich bei einem typhoon in taiwan immer faszinierend und erschreckend welche kraft da entsteht und wie der sturm singt,0.5238095238095238
2733,33,2022-01-29 23:15:16+00:00,"ingatan untuk diri ini dan semua yang kadang- kadang lupa...

ni aku dah cakap dan post di status instagram,nanti kat akhirat jangan cakap tak ada orang yang beritahu ye. ni aku dah sampaikan... ☺️ @ Johor https://t.co/PwPYrXPqb9",ingatan untuk diri ini dan semua yang kadang kadang lupa ni aku dah cakap dan post di status instagramnanti kat akhirat jangan cakap tak ada orang yang beritahu ye ni aku dah sampaikan johor,0.5882352941176471
2735,35,2022-01-29 23:08:12+00:00,@Hanseatengrau Passt auf euch auf. Und nicht wieder den Wein 🍷 fallen lassen. 👍🏻,passt auf euch auf und nicht wieder den wein fallen lassen,0.5454545454545454
2740,40,2022-01-29 22:53:26+00:00,@LukasPMueller Ja wir müssen alle sehr dankbar sein. Und versuchen die Lage der Menschen zu verbessern. So gut es eben geht.,ja wir müssen alle sehr dankbar sein und versuchen die lage der menschen zu verbessern so gut es eben geht,0.5
2764,64,2022-01-29 21:47:26+00:00,@frankfeil Nun das sollen die Juristen klären. Aber tolle Signalwirkung der Regierung ist es so oder so 👍🏻👍🏻🚦 Gut bauen wir halt weniger.,nun das sollen die juristen klären aber tolle signalwirkung der regierung ist es so oder so gut bauen wir halt weniger,0.5714285714285714
2768,68,2022-01-29 21:27:05+00:00,@VolkerGlaser1 RC ist auch sehr gut. Raffles is gut geworden. Und bin schon immer da gewesen - schon mit der Familie als Kind. Dann 2 Jahre am Stück als ich in Singapore gewohnt habe. Da gibt es nicht viel anderes für mich 😀,rc ist auch sehr gut raffles is gut geworden und bin schon immer da gewesen schon mit der familie als kind dann 2 jahre am stück als ich in singapore gewohnt habe da gibt es nicht viel anderes für mich,0.5641025641025641
2769,69,2022-01-29 21:21:22+00:00,@femmequilit Ja da gebe ich dir recht.,ja da gebe ich dir recht,0.5
2772,72,2022-01-29 21:15:40+00:00,@maryjane_nft New Waifu’s,new waifus,0.5
2780,80,2022-01-29 20:57:12+00:00,@frankfeil Caipirinha 🤢 da habe ich damals im London Marriott eine nächtliche Katastrophe ausgelöst. 🤮 Wie peinlich das war… in der 1. Woche im neuen Job 😳,caipirinha da habe ich damals im london marriott eine nächtliche katastrophe ausgelöst wie peinlich das war in der 1 woche im neuen job,0.5909090909090909
2795,95,2022-01-29 20:43:17+00:00,@EinLiberaler Das sieht aber hervorragend aus. Lass es dir schmecken.,das sieht aber hervorragend aus lass es dir schmecken,0.5555555555555556
2837,37,2022-01-30 23:32:16+00:00,CNY eve https://t.co/8eywYj5arK,cny eve,0.5
2870,70,2022-01-30 23:04:12+00:00,@amxnxzrul_ thankyouuu leyyy hahaha yee rajin dah ni 😂💪🏻,thankyouuu leyyy hahaha yee rajin dah ni,0.5714285714285714
2872,72,2022-01-30 23:02:34+00:00,Acaba de publicar una foto en The Metaverse Vietnam https://t.co/MrPcjBl35Q,acaba de publicar una foto en the metaverse vietnam,0.5555555555555556
2903,3,2022-01-31 23:55:41+00:00,Maayu pa ning pamangkin ko..owner na sang kainan..proud tato here.😁 https://t.co/mMKM5zbKYB,maayu pa ning pamangkin koowner na sang kainanproud tato here,0.5
2905,5,2022-01-31 23:55:21+00:00,"Sakan dia kat sini, kami mai ikut jadi babysitter anak anak dia. Bila minta upah dia bagi mini heart ja kat kita. Chettt 😏 @ Forest City Golf Resort https://t.co/9LWrfnvj6g",sakan dia kat sini kami mai ikut jadi babysitter anak anak dia bila minta upah dia bagi mini heart ja kat kita chettt forest city golf resort,0.5185185185185185
2912,12,2022-01-31 23:45:15+00:00,@ShashaBlackKatz @leexmas717 @zt000tz Lama x tgk lee gosok perut dia...,lama x tgk lee gosok perut dia,0.5714285714285714
2913,13,2022-01-31 23:45:09+00:00,CNY Eve 🧧🍊♥️ #2022 https://t.co/l1apH2wsZ9,cny eve,0.5
2924,24,2022-01-31 23:26:24+00:00,"I'm at Kampung Dato' Sulaiman Menteri in Johor Bahru, Johor w/ @hbramli https://t.co/OilejhWsTD",im at kampung dato sulaiman menteri in johor bahru johor w,0.5454545454545454
2928,28,2022-01-31 23:17:27+00:00,@investment_de Deutschland 🇩🇪 ist lost. Wenn das die Zukunft ist - dann gute Nacht 😴,deutschland ist lost wenn das die zukunft ist dann gute nacht,0.5454545454545454
2975,75,2022-01-31 22:35:02+00:00,Assalamualaikum February,assalamualaikum february,0.5
2993,93,2022-01-31 21:57:58+00:00,@financeFML @Investor_BI @Experiencetrad1 @just1ofyou Haha diesmal in der Richtung unschuldig 😇 aber der ist einfach cool zu fahren.,haha diesmal in der richtung unschuldig aber der ist einfach cool zu fahren,0.5384615384615384
2999,99,2022-01-31 21:35:15+00:00,@Investor_BI Ist DER Messenger Dienst in Asien. Und eben alles was noch dazu gehört.,ist der messenger dienst in asien und eben alles was noch dazu gehört,0.5384615384615384
3003,3,2022-02-01 23:54:23+00:00,Just posted a photo @ Pasar Jodoh Batam https://t.co/LZxCaesZta,just posted a photo pasar jodoh batam,0.5714285714285714
3007,7,2022-02-01 23:52:03+00:00,"@PLynchado Menos tempo pros analistas lerem antes do call no dia seguinte.
Fui RI e era a razão pela qual fazíamos isso...",menos tempo pros analistas lerem antes do call no dia seguinte fui ri e era a razão pela qual fazíamos isso,0.5714285714285714
3016,16,2022-02-01 23:47:00+00:00,Hahahahahaha pqp!!,hahahahahaha pqp,0.5
3044,44,2022-02-01 23:10:07+00:00,"“Awak kerja apa?”

Someone literally said “saya suka dikerjakan”

💀",awak kerja apa someone literally said saya suka dikerjakan,0.5555555555555556
