word,frequency
lmao,1
satisying,1
ngopi,1
bawang,1
nnete,1
hailey,1
beiber,1
eyeing,1
invented,1
donut,1
repackaged,1
patented,1
lipliner,1
lipgloss,1
combo,1
dianya,1
pulak,1
ayuh,1
bergabung,1
hahahahahaahah,1
uc,1
ain,1
islam,1
quran,1
fahami,1
suruh,1
leveraging,1
jola,1
nyala,1
etla,1
mathatha,1
ohoo,1
pushback,1
anchan,1
watsons,1
ayang,1
sci,1
influenced,1
90s,1
wtf,1
untung,1
gua,1
waktu,1
tepat,1
klo,1
ketinggalan,1
guaaa,1
kasikan,1
panadol,1
esok,1
berebut,1
indian,1
kekeke,1
iran,1
arrested,1
bodohkan,1
eur3bn,1
wangiiiii,1
tularin,1
akuuu,1
seketika,1
canduuu,1
banggg,1
selamat,1
bangggg,1
takpelah,1
sanggup,1
mbp,1
macos,1
pegang,1
ayat,1
medusa,1
awww,1
caitlin,1
zzz,1
feelz,1
betul,1
dakkk,1
2nd,1
kaum,1
jela,1
joined,1
lesggoooo,1
chan,1
frustrated,1
isnt,1
jemima,1
congrate,1
zah,1
kauuu,1
hy,1
cecan,1
siyavuma,1
khosi,1
siyakuvuma,1
suatu,1
musibah,1
menimpa,1
seseorang,1
kecuali,1
atas,1
izin,1
mengadakan,1
samping,1
menjadi,1
tercela,1
terhina,1
watak,1
perangai,1
sebenar,1
tcctwhuetw2nentvcfxxyuyx5atdspqast,1
bhg,1
arghhhhhh,1
hua,1
sentihua,1
flufff,1
shouldn,1
hadn,1
called,1
larger,1
44x,1
4x,1
1x,1
baseline,1
gentong,1
nethu,1
molaicha,1
chedigal,1
ellam,1
arasa,1
maram,1
pola,1
vaazha,1
thudikithu,1
safar,1
mard,1
kbhi,1
kia,1
aurat,1
kabhi,1
qatil,1
zalim,1
mardzaat,1
seeloknya,1
beri,1
pendapat,1
terbuku,1
berkaitan,1
kenal,1
fitnah,1
terdetik,1
selari,1
situasi,1
yoh,1
kha,1
rengisela,1
vhathu,1
christian,1
hahahahaha,1
yuk,1
bugis,1
serbians,1
serbia,1
gp,1
ish,1
jackson,1
starbucks,1
nyoom,1
performing,1
yumz,1
gotta,1
hord,1
uright,1
inbox,1
cuma,1
kasihan,1
sinyo,1
kl,1
kejadian,1
tunggal,1
terserah,1
lihat,1
ajaa,1
akan,1
membawa,1
mpin,1
grrrrrr,1
gmgm,1
lfggggg,1
damm,1
kochi,1
gotham,1
kpj,1
hsajb,1
cuti,1
menantea,1
ilangin,1
sepat,1
dimulut,1
karna,1
abis,1
wleowleo,1
berjam,1
caring,1
arghhh,1
blockchain,1
8am,1
15pm,1
judulnya,1
mencerahkan,1
optimizer,1
buying,1
syulit,1
rt,1
aws,1
heard,1
metamask,1
kerendahan,1
disukai,1
sulit,1
rendah,1
paul,1
valery,1
tumhay,1
f1,1
peduli,1
ajak,1
tetaplah,1
astaka,1
swider,1
austin,1
reaves,1
mayo,1
diy,1
pastu,1
bruh,1
bayc,1
pfp,1
screenshotting,1
putting,1
screenshotted,1
sagutin,1
designated,1
shhh,1
maingay,1
hahahaa,1
udh,1
fokus,1
dgn,1
yukk,1
changing,1
sehat,1
berawal,1
genggg,1
reopening,1
1st,1
luahkan,1
adiknya,1
meluahkan,1
pengalaman,1
berlaku,1
anggota,1
dubai,1
abga,1
klaytn,1
hackathon,1
wala,1
naibalot,1
akong,1
prutas,1
hehehe,1
scared,1
hahas,1
ketua,1
eco,1
cfa,1
alluding,1
ntu,1
besties,1
pishachini,1
fri,1
bdt,1
syd,1
akl,1
fj,1
thi,1
ivhi,1
inwi,1
alr,1
whaaaaaaaaaaaaat,1
patutlah,1
gunung,1
ledang,1
ekk,1
msm,1
onzzz,1
podcast,1
infantilising,1
nuanced,1
3am,1
attracted,1
coooooooool,1
hahhaa,1
tuuu,1
menahan,1
lawa,1
takda,1
logo,1
babie,1
iki,1
kecewa,1
tiap,1
tuku,1
jus,1
jambu,1
terlalu,1
bening,1
trus,1
pengen,1
gwe,1
dewe,1
biar,1
ketemu,1
hoony,1
cicd,1
