,Unnamed: 0,date,rawContent,cleaned_content,english_relative_frequency
1204,1204,2022-09-26 13:03:28+00:00,@Gontse_Segodi @ChrisExcel102 Wena upake kahle yoo😭😭😭❤,wena upake kahle yoo,0.0
1218,1218,2022-09-26 13:03:16+00:00,@jiims Bismillahirrahmanirrahim,bismillahirrahmanirrahim,0.0
1229,1229,2022-09-26 13:03:09+00:00,@MohamadAmidi_ Yayyyyy 💍,yayyyyy,0.0
1240,1240,2022-09-26 13:02:56+00:00,@juanli324 “中共（The CCP）向全人类放毒”、“中共不等于中国！中共不等于中国人”！这些事实是对中共最致命的打击👊！还用造谣？想想战争中放烟雾弹的目的，那是为了迷惑对手！你要是跟着它思路走你，那你胜利的代价会很大！看看三国演义！也知道被别人牵着鼻子走的代价。目前这是战争不是所谓的社会舆论,ccp,0.0
1257,1257,2022-09-26 13:02:48+00:00,Hmmm kalau balik pukul 8 mesti sampai bilik pukul 9. Pusing pusing dulu beli makanan nak tapau 🫠🥲,hmmm kalau balik pukul 8 mesti sampai bilik pukul 9 pusing pusing dulu beli makanan nak tapau,0.06666666666666667
1260,1260,2022-09-26 13:02:46+00:00,@NCTsmtown terakhirr ???????!,terakhirr,0.0
1264,1264,2022-09-26 13:02:43+00:00,kesiannye,kesiannye,0.0
1270,1270,2022-09-26 13:02:39+00:00,@l3tssmoke gm gn smokie,gm gn smokie,0.0
1277,1277,2022-09-26 13:02:34+00:00,Hidup kok semangat,hidup kok semangat,0.0
1284,1284,2022-09-26 13:02:32+00:00,@sasukyy Yeayyyyy 🥰🥰🥰,yeayyyyy,0.0
1297,1297,2022-09-26 13:02:19+00:00,"@DecodingInspire Huawei x8, iirc..",huawei x8 iirc,0.0
1302,1302,2022-09-26 13:02:12+00:00,@FWBESS Hmu,hmu,0.0
1307,1307,2022-09-26 13:02:08+00:00,"@actvelvet_ @FWBESS Kadel,bioskop gk ada yg seru",kadel bioskop gk ada yg seru,0.0
