,date,content,cleaned_content
86,2022-05-20 08:39:44+00:00,@Berlinnaeus Women criticising other women in MSM are the absolute pits. Shame on you @ellenmcoyne @alisonoconn,women criticising other women msm are absolute pits shame you
87,2022-05-20 08:39:44+00:00,THANK YOU to everyone who volunteered yesterday — I had so much fun sharing my love for Irish Dancing with you all while supporting @Womens_Aid ☘️ #IrishDanceForGood #TwitterForGood https://t.co/l51w9pUw2B,thank you everyone who volunteered yesterday i had so much fun sharing my love irish dancing with you all while supporting
88,2022-05-20 08:39:43+00:00,@DNA_NOT_ALIEN @foundation Amazing work 😍,amazing work
89,2022-05-20 08:39:43+00:00,@annisapepita Takut ma setan,takut ma setan
90,2022-05-20 08:39:42+00:00,@IsTheNext94 @TobyonTV @ChrisOGorman1,
91,2022-05-20 08:39:42+00:00,Great to be back at the @ipass conference. Looking forward to speaking to all the attendees… #payrollservices #globalpayroll #compliance #GPG https://t.co/reVbBMZAQe,great be back at conference looking forward speaking all attendees
92,2022-05-20 08:39:35+00:00,"@fergalreid @john_mcguirk ""GOP state Rep. Mary Elizabeth Coleman, who is pushing the Missouri policy, said it specifically targets a Planned Parenthood clinic in Illinois just across the river from St. Louis that opened in 2019 with the explicit goal of serving Missouri patients.""",gop state rep mary elizabeth coleman who is pushing missouri policy said it specifically targets planned parenthood clinic illinois just across river st louis that opened 2019 with explicit goal serving missouri patients
93,2022-05-20 08:39:35+00:00,@Timothy76284602 @IrishRail @CompleteSave_ie Still going on? Madness,still going madness
94,2022-05-20 08:39:35+00:00,@FCTwenteBenson look it's perfect normal for jason to be unable to maintain an erection unless he knows that poor people somewhere are being hunted and blown up,look its perfect normal jason be unable maintain erection unless he knows that poor people somewhere are being hunted blown up
95,2022-05-20 08:39:32+00:00,"@ElaineARoche We were to poor to have a wooden spoon. My Mother was a ventriloquist, she only had to look at you, and you could here her say wait till I get you home. Still miss her after 35 years gone.",we were poor have wooden spoon my mother was ventriloquist she only had look at you you could here her say wait till i get you home still miss her after 35 years gone
96,2022-05-20 08:39:32+00:00,@SanctuaryRunner https://t.co/nmippFHPZd are good.,are good
97,2022-05-20 08:39:30+00:00,@gr8jozy @Reidy_24 @rjstocko @pabs_76 @Bigsamm @richarlison97 @mitchollo @Carra23 You might be right 🤔,you might be right
98,2022-05-20 08:39:29+00:00,@samillidge @ChelseaClinton @LisaMMcGee Sister George Michael without a shadow of a doubt. Would you concur @ChrisEvans ?,sister george michael without shadow doubt would you concur
99,2022-05-20 08:39:29+00:00,"Yoooo we did it! 200 unique views in our first two weeks! 

Fantastic start to chapter 1. https://t.co/LdqSJKPhug https://t.co/k976ri4PfF",yoooo we did it 200 unique views our first two weeks fantastic start chapter 1
100,2022-05-20 08:39:24+00:00,"@PrinceWhatever Yes it did, thank you 🙏🙏🙏",yes it did thank you
101,2022-05-20 08:39:24+00:00,"Research from @BreandanKennedy shows for first time anticancer drug can halt advanced #UvealMelanoma 
@Husvinee  @Crystal3Project @UCD_Research 
https://t.co/rL28m12JSu https://t.co/Q7lB2nQJBj",research shows first time anticancer drug can halt advanced
102,2022-05-20 08:39:22+00:00,"Talking to children about scary news can help alleviate the anxiety, depression, and behavioral and learning problems associated with experiencing traumatic events. 

Read key tips for teachers and caregivers from @nasponline on the HMH Shaped blog. https://t.co/z8q6ZHbKLl",talking children about scary news can help alleviate anxiety depression behavioral learning problems associated with experiencing traumatic events read key tips teachers caregivers hmh shaped blog
